Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
an-image-of-class,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,22.303177,0.99974066
an-image-of-class,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,24.653847,0.99986315
an-image-of-class,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,0,20.95363,0.8614285
an-image-of-class,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,20.921274,0.9993944
an-image-of-class,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,17.100697,0.922035
an-image-of-class,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,17.273357,0.9049906
an-image-of-class,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,0,22.85046,0.9815228
an-image-of-class,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,12.442622,0.77026385
an-image-of-class,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,19.789116,0.997095
an-image-of-class,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,20.982893,0.99987125
an-image-of-class,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,17.162682,0.98754174
an-image-of-class,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,20.44742,0.99606067
an-image-of-class,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,19.086023,0.9839982
an-image-of-class,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,16.799124,0.97005635
an-image-of-class,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,14.666741,0.86713874
an-image-of-class,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,21.094414,0.9778625
an-image-of-class,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,0,18.989216,0.9950294
an-image-of-class,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,6,13.8094015,0.53939146
an-image-of-class,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,0,21.201088,0.99441695
an-image-of-class,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,0,16.218567,0.8716769
an-image-of-class,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,0,13.232023,0.9552101
an-image-of-class,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,18.301125,0.97774404
an-image-of-class,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,0,15.741244,0.94815063
an-image-of-class,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,16.337341,0.94184995
an-image-of-class,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,13.380758,0.9199073
an-image-of-class,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,0,17.272858,0.9940382
an-image-of-class,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,0,16.225626,0.8692722
an-image-of-class,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,16.713955,0.99833834
an-image-of-class,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,4,15.811224,0.74247414
an-image-of-class,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,0,16.273476,0.98771834
an-image-of-class,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,4,15.424944,0.7627146
