Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
arabic_prompts9,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,10.293476,0.92425287
arabic_prompts9,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,10.247661,0.97784287
arabic_prompts9,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,0,11.565817,0.998566
arabic_prompts9,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,7,7.4756265,0.35490727
arabic_prompts9,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,0,6.591464,0.7147012
arabic_prompts9,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,0,8.597915,0.46012267
arabic_prompts9,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,0,7.8054347,0.7184671
arabic_prompts9,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,0,7.94173,0.89580804
arabic_prompts9,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,8.107092,0.8245981
arabic_prompts9,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,9.999392,0.5975143
arabic_prompts9,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,10.227282,0.97119665
arabic_prompts9,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,7,8.863964,0.68226045
arabic_prompts9,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,6.761381,0.4923442
arabic_prompts9,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,0,9.10491,0.83239615
arabic_prompts9,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,8.216064,0.35976294
arabic_prompts9,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,0,8.803516,0.9807391
arabic_prompts9,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,0,7.980014,0.66548306
arabic_prompts9,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,4,9.201091,0.62719893
arabic_prompts9,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,0,9.911112,0.9946085
arabic_prompts9,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,0,7.154615,0.3937467
arabic_prompts9,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,6,7.9234786,0.50815177
arabic_prompts9,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,6,8.279779,0.5270973
arabic_prompts9,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,4,7.9930577,0.40289736
