Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
french_prompts8,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,13.104387,0.9505357
french_prompts8,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,3,16.369183,0.9540447
french_prompts8,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,3,12.999298,0.92495394
french_prompts8,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,14.260307,0.9393573
french_prompts8,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,10.36753,0.5545604
french_prompts8,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,12.845196,0.8473076
french_prompts8,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,3,14.559441,0.9717177
french_prompts8,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,8.740184,0.5524609
french_prompts8,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,12.3364725,0.9208083
french_prompts8,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,4,9.942273,0.63103527
french_prompts8,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,13.185711,0.6994896
french_prompts8,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,14.206628,0.9228755
french_prompts8,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,3,9.666178,0.38494056
french_prompts8,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,16.995165,0.99340314
french_prompts8,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,12.265144,0.94241285
french_prompts8,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,17.564665,0.99981266
french_prompts8,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,3,9.789221,0.5846767
french_prompts8,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,0,10.083061,0.5869826
french_prompts8,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,3,11.6469,0.8854327
french_prompts8,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,7,7.561444,0.40284878
french_prompts8,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,7,9.352163,0.8525143
french_prompts8,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,12.222631,0.94491965
french_prompts8,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,4,10.490478,0.65098476
french_prompts8,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,11.520161,0.5860736
french_prompts8,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,12.075462,0.94711316
french_prompts8,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,4,11.054285,0.82744193
french_prompts8,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,4,12.074761,0.9508137
french_prompts8,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,12.40626,0.763095
french_prompts8,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,7,10.732475,0.48886052
french_prompts8,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,4,10.09133,0.68012935
french_prompts8,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,4,13.65983,0.6224475
french_prompts8,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,9.39866,0.68045074
french_prompts8,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,13.119046,0.79094845
french_prompts8,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,3,12.788919,0.7100483
french_prompts8,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,4,13.944132,0.99168164
french_prompts8,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,0,13.091743,0.8384279
french_prompts8,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,7,12.189747,0.8686797
french_prompts8,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,4,10.240721,0.82997286
french_prompts8,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,0,13.237559,0.981293
french_prompts8,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,1,11.206781,0.6070874
french_prompts8,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,0,12.6782675,0.44531292
french_prompts8,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,3,9.466063,0.5044679
french_prompts8,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,4,13.472538,0.9535942
french_prompts8,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,0,8.367374,0.35281983
french_prompts8,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,4,12.293676,0.9728865
french_prompts8,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,5,10.946133,0.53263164
french_prompts8,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,4,14.484095,0.97478175
french_prompts8,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,3,11.101886,0.6388282
french_prompts8,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,3,13.678907,0.9724134
french_prompts8,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,4,12.1495285,0.6756868
french_prompts8,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,3,17.511137,0.87033695
french_prompts8,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,4,13.988393,0.9828029
french_prompts8,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,4,8.381575,0.578274
french_prompts8,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,4,9.987093,0.55452216
french_prompts8,data/test/drawing/IMP-1923-12-21-a-i0030.jpg,0,0,13.798258,0.75366575
french_prompts8,data/test/drawing/IMP-1951-08-20-a-i0080.jpg,0,7,13.091833,0.7903592
french_prompts8,data/test/drawing/IMP-1981-02-18-a-i0085_4.jpg,0,4,9.097759,0.43279788
french_prompts8,data/test/drawing/EXP-1979-08-17-a-i0337.jpg,0,0,11.807665,0.7867624
french_prompts8,data/test/drawing/EXP-1974-05-25-a-i0325_4.jpg,0,4,10.430645,0.72864264
french_prompts8,data/test/drawing/IMP-1981-02-18-a-i0085_5.jpg,0,0,8.576595,0.55745465
french_prompts8,data/test/drawing/GDL-1979-06-15-a-i0026_2.jpg,0,3,9.80058,0.51355803
french_prompts8,data/test/drawing/JDG-1966-05-31-a-i0021.jpg,0,0,13.266551,0.9502237
french_prompts8,data/test/drawing/IMP-1903-01-14-a-i0031.jpg,0,3,10.454765,0.48245028
french_prompts8,data/test/drawing/JDG-1974-01-17-a-i0097.jpg,0,4,13.27998,0.97412306
french_prompts8,data/test/drawing/EXP-1924-06-06-a-i0046.jpg,0,7,7.784799,0.4855248
french_prompts8,data/test/drawing/IMP-1915-04-08-a-i0038_2.jpg,0,3,14.384686,0.9649917
french_prompts8,data/test/drawing/IMP-1925-01-09-a-i0030.jpg,0,4,10.403629,0.7198784
french_prompts8,data/test/drawing/IMP-1929-10-16-a-i0005.jpg,0,4,9.325924,0.34635168
french_prompts8,data/test/drawing/EXP-1969-05-13-a-i0056.jpg,0,3,11.810565,0.8238582
french_prompts8,data/test/drawing/IMP-1906-12-16-a-i0013.jpg,0,3,10.706069,0.8595146
french_prompts8,data/test/drawing/EXP-1966-11-25-a-i0334.jpg,0,0,13.940609,0.9827975
french_prompts8,data/test/drawing/EXP-1974-05-25-a-i0325_2.jpg,0,4,13.624405,0.9886819
