Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
german_prompts13,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,5,9.275802,0.7914816
german_prompts13,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,3,7.4107265,0.4054873
german_prompts13,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,2,9.217283,0.459242
german_prompts13,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,4,7.675182,0.45176324
german_prompts13,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,14.511883,0.99977654
german_prompts13,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,15.080669,0.9985771
german_prompts13,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,3,10.03217,0.4907308
german_prompts13,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,4,6.9038725,0.4175274
german_prompts13,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,5,6.2412777,0.47898987
german_prompts13,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,2,7.2155046,0.5227415
german_prompts13,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,4,9.074688,0.93751264
german_prompts13,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,3,7.992799,0.6450515
german_prompts13,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,9.636385,0.5572647
german_prompts13,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,18.79465,0.99621165
german_prompts13,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,12.80304,0.9909567
german_prompts13,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,14.302382,0.9965096
german_prompts13,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,4,8.588661,0.399801
german_prompts13,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,5,7.9771223,0.6550317
german_prompts13,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,1,12.8009,0.8154652
german_prompts13,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,0,7.1693306,0.5375034
german_prompts13,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,5,7.4252906,0.45636487
german_prompts13,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,14.566512,0.9963865
german_prompts13,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,0,12.07126,0.9403413
german_prompts13,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,11.166017,0.91409284
german_prompts13,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,11.956035,0.99482805
german_prompts13,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,5,7.840904,0.4745151
german_prompts13,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,4,11.249178,0.93678707
german_prompts13,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,8.442801,0.45616078
german_prompts13,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,4,10.519074,0.85017383
german_prompts13,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,3,6.0186977,0.29110846
german_prompts13,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,4,12.926722,0.9783216
german_prompts13,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,9.592782,0.55687714
german_prompts13,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,5,11.112778,0.9424772
german_prompts13,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,5,8.309353,0.29097366
german_prompts13,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,4,13.425523,0.9933635
german_prompts13,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,5,8.240729,0.4014776
german_prompts13,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,5,7.8209505,0.3892479
german_prompts13,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,3,9.266133,0.41116557
german_prompts13,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,4,11.848078,0.970667
german_prompts13,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,4,12.539286,0.99067944
german_prompts13,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,3,7.309123,0.3842711
german_prompts13,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,3,8.372084,0.3924218
german_prompts13,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,4,15.045667,0.99870384
german_prompts13,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,0,8.111206,0.7952382
german_prompts13,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,4,15.254635,0.9935295
german_prompts13,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,2,11.008669,0.5957101
german_prompts13,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,4,10.739856,0.9764133
german_prompts13,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,2,10.992084,0.77668124
german_prompts13,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,3,11.145689,0.9688065
german_prompts13,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,3,7.3436146,0.5708741
german_prompts13,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,3,12.774469,0.94964224
german_prompts13,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,4,10.477749,0.8959165
german_prompts13,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,0,7.2313256,0.49562436
german_prompts13,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,0,9.525515,0.7395077
german_prompts13,data/test/drawing/IMP-1923-12-21-a-i0030.jpg,0,4,7.460373,0.47656187
german_prompts13,data/test/drawing/IMP-1951-08-20-a-i0080.jpg,0,4,14.218924,0.9535826
german_prompts13,data/test/drawing/IMP-1981-02-18-a-i0085_4.jpg,0,2,8.267045,0.718225
german_prompts13,data/test/drawing/EXP-1979-08-17-a-i0337.jpg,0,4,9.476716,0.92916703
german_prompts13,data/test/drawing/EXP-1974-05-25-a-i0325_4.jpg,0,4,11.1712885,0.6390721
german_prompts13,data/test/drawing/IMP-1981-02-18-a-i0085_5.jpg,0,0,6.772406,0.38019767
german_prompts13,data/test/drawing/GDL-1979-06-15-a-i0026_2.jpg,0,3,6.134623,0.38111526
german_prompts13,data/test/drawing/JDG-1966-05-31-a-i0021.jpg,0,3,8.557838,0.5223063
german_prompts13,data/test/drawing/IMP-1903-01-14-a-i0031.jpg,0,5,8.887121,0.71269834
german_prompts13,data/test/drawing/JDG-1974-01-17-a-i0097.jpg,0,4,9.928143,0.9474787
german_prompts13,data/test/drawing/EXP-1924-06-06-a-i0046.jpg,0,0,8.37811,0.59510434
german_prompts13,data/test/drawing/IMP-1915-04-08-a-i0038_2.jpg,0,3,9.0878525,0.62092227
german_prompts13,data/test/drawing/IMP-1925-01-09-a-i0030.jpg,0,4,7.6565924,0.32239088
german_prompts13,data/test/drawing/IMP-1929-10-16-a-i0005.jpg,0,4,9.807841,0.9366693
german_prompts13,data/test/drawing/EXP-1969-05-13-a-i0056.jpg,0,3,10.358222,0.7048882
german_prompts13,data/test/drawing/IMP-1906-12-16-a-i0013.jpg,0,3,9.775566,0.75085336
german_prompts13,data/test/drawing/EXP-1966-11-25-a-i0334.jpg,0,0,10.290658,0.7566811
german_prompts13,data/test/drawing/EXP-1974-05-25-a-i0325_2.jpg,0,4,11.609806,0.6161271
german_prompts13,data/test/drawing/IMP-1981-02-18-a-i0085.jpg,0,1,8.836099,0.42002225
german_prompts13,data/test/drawing/LCE-1915-02-13-a-i0032.jpg,0,5,5.6594677,0.42035267
german_prompts13,data/test/drawing/IMP-1915-05-18-a-i0007.jpg,0,0,5.367801,0.42109635
german_prompts13,data/test/drawing/IMP-2001-07-17-a-i0177_2.jpg,0,3,12.999528,0.9286282
german_prompts13,data/test/drawing/EXP-1932-07-26-a-i0078.jpg,0,3,6.809861,0.42432392
german_prompts13,data/test/drawing/IMP-1937-02-16-a-i0012.jpg,0,4,10.900143,0.9645149
german_prompts13,data/test/drawing/IMP-1984-11-06-a-i0005.jpg,0,4,12.704152,0.9954919
german_prompts13,data/test/drawing/JDG-1977-06-04-a-i0219.jpg,0,4,12.940638,0.99650156
german_prompts13,data/test/drawing/IMP-2001-07-17-a-i0177.jpg,0,3,13.875739,0.9560596
german_prompts13,data/test/drawing/EXP-1972-07-08-a-i0361.jpg,0,0,10.319061,0.81140804
german_prompts13,data/test/drawing/IMP-1936-06-23-a-i0069.jpg,0,4,10.341738,0.7595908
german_prompts13,data/test/drawing/JDG-1968-10-25-a-i0086.jpg,0,4,10.5365505,0.9038386
german_prompts13,data/test/drawing/GDL-1975-12-13-a-i0099.jpg,0,3,7.8474092,0.39661586
german_prompts13,data/test/drawing/IMP-1993-09-25-a-i0275.jpg,0,4,7.9743376,0.4274218
german_prompts13,data/test/drawing/IMP-1904-04-09-a-i0002.jpg,0,1,9.567785,0.72051364
german_prompts13,data/test/drawing/GDL-1953-05-30-a-i0173.jpg,0,2,8.946076,0.443691
german_prompts13,data/test/drawing/IMP-1901-05-29-a-i0035.jpg,0,5,9.073229,0.6182791
german_prompts13,data/test/title/LCE-1942-05-20-a-i0019.jpg,7,3,13.708737,0.9984909
german_prompts13,data/test/title/LCE-1911-10-18-a-i0084.jpg,7,3,9.8564,0.99095446
german_prompts13,data/test/title/LCE-1921-12-09-a-i0059.jpg,7,3,10.838837,0.99419516
german_prompts13,data/test/title/LCE-1901-06-01-a-i0012.jpg,7,3,8.633635,0.91491014
german_prompts13,data/test/title/LCE-1932-07-15-a-i0019.jpg,7,3,10.612143,0.9956938
german_prompts13,data/test/title/LCE-1911-12-06-a-i0016.jpg,7,3,14.744495,0.9994042
german_prompts13,data/test/title/LCE-1906-07-25-a-i0010.jpg,7,3,6.322791,0.36010942
german_prompts13,data/test/title/LCE-1908-01-22-a-i0011_2.jpg,7,3,12.77503,0.9972537
german_prompts13,data/test/title/LCE-1942-01-21-a-i0014.jpg,7,3,11.852487,0.99626005
german_prompts13,data/test/title/LCE-1906-10-13-a-i0019.jpg,7,3,10.507872,0.99083495
german_prompts13,data/test/title/LCE-1944-03-31-a-i0017.jpg,7,3,14.071908,0.9995333
german_prompts13,data/test/title/LCE-1910-04-27-a-i0002.jpg,7,3,11.640789,0.9972466
german_prompts13,data/test/title/LCE-1913-03-01-a-i0008.jpg,7,3,12.084335,0.9874068
german_prompts13,data/test/title/LCE-1910-04-02-a-i0009.jpg,7,3,11.525499,0.9970034
german_prompts13,data/test/title/LCE-1952-05-02-a-i0002.jpg,7,3,7.218968,0.95778644
german_prompts13,data/test/title/LCE-1900-03-17-a-i0006.jpg,7,3,8.13962,0.92373025
german_prompts13,data/test/title/LCE-1953-06-26-a-i0014.jpg,7,3,15.316429,0.9902047
german_prompts13,data/test/title/LCE-1912-11-23-a-i0020.jpg,7,3,10.649817,0.9915153
german_prompts13,data/test/title/LCE-1914-05-15-a-i0014.jpg,7,3,9.762411,0.97249156
german_prompts13,data/test/title/LCE-1908-03-07-a-i0008.jpg,7,3,11.577772,0.99877506
german_prompts13,data/test/title/LCE-1905-04-08-a-i0010.jpg,7,3,6.057738,0.3492321
german_prompts13,data/test/title/LCE-1948-04-05-a-i0009.jpg,7,3,6.8888073,0.3634518
german_prompts13,data/test/title/LCE-1931-05-08-a-i0014.jpg,7,3,11.798617,0.99457425
german_prompts13,data/test/title/LCE-1913-04-09-a-i0015.jpg,7,3,11.639706,0.9946156
german_prompts13,data/test/title/LCE-1900-08-29-a-i0011.jpg,7,3,8.6456375,0.9270823
german_prompts13,data/test/title/LCE-1912-10-19-a-i0010.jpg,7,3,11.03049,0.99879587
german_prompts13,data/test/title/LCE-1907-01-01-a-i0016.jpg,7,3,14.792208,0.9987453
german_prompts13,data/test/title/LCE-1919-12-12-a-i0013.jpg,7,3,11.189007,0.9831819
german_prompts13,data/test/title/LCE-1909-08-11-a-i0007_2.jpg,7,3,13.168908,0.9994413
german_prompts13,data/test/title/LCE-1914-06-19-a-i0015.jpg,7,3,9.247047,0.9780927
german_prompts13,data/test/title/LCE-1904-07-02-a-i0002.jpg,7,3,6.952573,0.5130579
german_prompts13,data/test/title/LCE-1904-06-15-a-i0019.jpg,7,3,9.884811,0.9782534
german_prompts13,data/test/title/LCE-1943-01-27-a-i0017.jpg,7,3,12.605963,0.9978829
german_prompts13,data/test/title/LCE-1908-08-05-a-i0017.jpg,7,3,16.10487,0.99735755
german_prompts13,data/test/title/LCE-1904-01-20-a-i0002.jpg,7,3,10.090244,0.9888691
german_prompts13,data/test/title/LCE-1908-03-28-a-i0012.jpg,7,3,12.533648,0.9968093
german_prompts13,data/test/title/LCE-1914-07-10-a-i0015.jpg,7,3,12.461233,0.9948513
german_prompts13,data/test/title/LCE-1906-06-06-a-i0018.jpg,7,3,5.270164,0.7276912
german_prompts13,data/test/title/LCE-1912-10-12-a-i0009.jpg,7,3,14.223978,0.998662
german_prompts13,data/test/title/LCE-1958-06-16-a-i0011.jpg,7,3,15.980881,0.99884254
german_prompts13,data/test/title/LCE-1935-06-10-a-i0011.jpg,7,3,14.08376,0.9995153
german_prompts13,data/test/title/LCE-1914-05-01-a-i0002.jpg,7,3,7.7434425,0.79156524
german_prompts13,data/test/title/LCE-1903-04-15-a-i0005.jpg,7,3,6.486704,0.7792936
german_prompts13,data/test/title/LCE-1913-01-08-a-i0015.jpg,7,3,12.322562,0.9970898
german_prompts13,data/test/title/LCE-1904-07-27-a-i0010.jpg,7,6,6.9527664,0.36319068
german_prompts13,data/test/title/LCE-1920-12-03-a-i0084.jpg,7,3,13.519756,0.99843115
german_prompts13,data/test/title/LCE-1907-12-28-a-i0001.jpg,7,3,7.4715476,0.7299846
german_prompts13,data/test/title/LCE-1931-07-10-a-i0012.jpg,7,3,11.314665,0.9970433
german_prompts13,data/test/title/LCE-1941-08-18-a-i0015.jpg,7,3,10.51141,0.99345946
german_prompts13,data/test/title/LCE-1901-02-16-a-i0011.jpg,7,3,9.074549,0.9620939
german_prompts13,data/test/title/LCE-1942-01-02-a-i0012.jpg,7,3,12.578579,0.9976981
german_prompts13,data/test/title/LCE-1907-08-14-a-i0009.jpg,7,3,10.504526,0.9860281
german_prompts13,data/test/title/LCE-1933-10-09-a-i0017.jpg,7,3,13.275915,0.99911314
german_prompts13,data/test/title/LCE-1914-05-11-a-i0016.jpg,7,3,8.416393,0.9114759
german_prompts13,data/test/title/LCE-1911-10-18-a-i0002.jpg,7,3,11.838753,0.99127555
german_prompts13,data/test/title/LCE-1919-07-12-a-i0020.jpg,7,3,7.180276,0.5536426
german_prompts13,data/test/title/LCE-1902-02-19-a-i0007.jpg,7,3,9.381314,0.9675491
german_prompts13,data/test/title/LCE-1913-02-15-a-i0009.jpg,7,3,13.100755,0.9986229
german_prompts13,data/test/title/LCE-1909-05-01-a-i0001.jpg,7,3,8.262614,0.8439721
german_prompts13,data/test/title/LCE-1943-01-27-a-i0008.jpg,7,6,5.6816,0.39950934
german_prompts13,data/test/title/LCE-1950-02-24-a-i0001.jpg,7,3,11.909468,0.99851733
german_prompts13,data/test/title/LCE-1948-09-17-a-i0020.jpg,7,3,13.612732,0.9990689
german_prompts13,data/test/title/LCE-1906-06-09-a-i0002.jpg,7,3,10.785957,0.99553996
german_prompts13,data/test/title/LCE-1933-02-01-a-i0009.jpg,7,3,7.282323,0.55815345
german_prompts13,data/test/title/LCE-1906-03-14-a-i0020.jpg,7,3,11.177736,0.9857765
german_prompts13,data/test/title/LCE-1926-12-24-a-i0057.jpg,7,3,12.073618,0.9917846
german_prompts13,data/test/title/LCE-1915-04-17-a-i0011.jpg,7,3,15.178114,0.99882144
german_prompts13,data/test/title/LCE-1923-03-09-a-i0051.jpg,7,3,10.382564,0.99361813
german_prompts13,data/test/title/LCE-1948-06-09-a-i0015.jpg,7,3,15.513508,0.9999341
german_prompts13,data/test/title/LCE-1933-09-15-a-i0015.jpg,7,3,11.110215,0.9916631
german_prompts13,data/test/title/LCE-1910-12-31-a-i0018.jpg,7,3,9.922944,0.98829377
german_prompts13,data/test/title/LCE-1908-10-07-a-i0011.jpg,7,3,14.730152,0.9986041
german_prompts13,data/test/title/LCE-1952-02-27-a-i0002.jpg,7,3,10.124529,0.98863643
german_prompts13,data/test/title/LCE-1908-09-26-a-i0010.jpg,7,3,15.0808,0.999332
german_prompts13,data/test/title/LCE-1915-04-07-a-i0012.jpg,7,3,10.44016,0.9972548
german_prompts13,data/test/title/LCE-1906-02-03-a-i0003.jpg,7,3,6.4445667,0.79309946
german_prompts13,data/test/title/LCE-1915-12-08-a-i0013.jpg,7,3,10.7376175,0.9923516
german_prompts13,data/test/title/LCE-1904-03-09-a-i0001.jpg,7,3,12.76866,0.9970613
german_prompts13,data/test/title/LCE-1933-05-03-a-i0012.jpg,7,3,13.477867,0.999411
german_prompts13,data/test/title/LCE-1949-12-19-a-i0016.jpg,7,3,12.291889,0.9969013
german_prompts13,data/test/graph/GDL-1989-04-17-a-i0064.jpg,2,5,6.600543,0.39705396
german_prompts13,data/test/graph/JDG-1976-01-09-a-i0041.jpg,2,2,7.0275064,0.4290498
german_prompts13,data/test/graph/EXP-1903-12-16-a-i0044.jpg,2,2,9.315218,0.59761024
german_prompts13,data/test/graph/EXP-1962-11-21-a-i0136.jpg,2,2,9.101832,0.85167277
german_prompts13,data/test/graph/EXP-1935-03-04-a-i0105.jpg,2,2,8.669183,0.4205832
german_prompts13,data/test/graph/EXP-1923-08-21-a-i0071.jpg,2,2,7.9439106,0.45885137
german_prompts13,data/test/graph/EXP-1912-02-02-a-i0108.jpg,2,0,8.600142,0.44941723
german_prompts13,data/test/graph/GDL-1979-02-05-a-i0102.jpg,2,0,7.9505157,0.50611746
german_prompts13,data/test/graph/JDG-1908-10-10-a-i0031.jpg,2,2,10.345961,0.7554761
german_prompts13,data/test/graph/EXP-1911-12-09-a-i0115.jpg,2,2,12.021718,0.8631228
german_prompts13,data/test/graph/EXP-1951-01-29-a-i0116.jpg,2,2,10.739208,0.6443471
german_prompts13,data/test/graph/EXP-1921-08-31-a-i0070.jpg,2,2,9.25847,0.82360697
german_prompts13,data/test/graph/EXP-1916-01-19-a-i0064.jpg,2,2,10.817217,0.8414156
