Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
hebrew_prompts6,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,6,12.246429,0.82323927
hebrew_prompts6,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,6,9.820963,0.88676995
hebrew_prompts6,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,6,7.435566,0.61318576
hebrew_prompts6,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,6,9.924911,0.76176685
hebrew_prompts6,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,2,6.639853,0.38184503
hebrew_prompts6,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,6,8.808136,0.32659867
hebrew_prompts6,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,6,10.264886,0.6095449
hebrew_prompts6,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,6,4.74985,0.61533165
hebrew_prompts6,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,6,8.367008,0.780975
hebrew_prompts6,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,6,11.0672,0.7448631
hebrew_prompts6,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,2,7.266826,0.45561874
hebrew_prompts6,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,2,8.04669,0.46784505
hebrew_prompts6,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,6,9.393089,0.46869022
hebrew_prompts6,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,2,6.3816514,0.39731348
hebrew_prompts6,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,3,7.945649,0.32680523
hebrew_prompts6,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,7,6.3941803,0.76924956
hebrew_prompts6,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,4,8.235661,0.4488917
hebrew_prompts6,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,6,11.393655,0.75291353
hebrew_prompts6,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,6,6.523154,0.8796842
hebrew_prompts6,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,6,6.990365,0.7125179
hebrew_prompts6,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,6,12.626714,0.76225114
hebrew_prompts6,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,2,9.209963,0.26458365
hebrew_prompts6,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,6,9.499939,0.56353015
hebrew_prompts6,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,6,9.407885,0.25291848
hebrew_prompts6,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,7,8.863717,0.37366027
hebrew_prompts6,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,7,8.386099,0.5096433
hebrew_prompts6,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,6,10.591036,0.6969898
hebrew_prompts6,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,4,8.668779,0.21673776
hebrew_prompts6,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,7,6.4636526,0.3338178
hebrew_prompts6,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,2,8.623305,0.35833624
hebrew_prompts6,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,6,11.794782,0.890319
hebrew_prompts6,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,6,9.317203,0.87115586
hebrew_prompts6,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,6,10.072629,0.6766746
hebrew_prompts6,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,7,10.5392475,0.6263756
hebrew_prompts6,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,2,12.678602,0.47276384
hebrew_prompts6,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,6,11.682086,0.8936416
hebrew_prompts6,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,6,9.84782,0.40370414
hebrew_prompts6,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,6,8.959072,0.9138612
hebrew_prompts6,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,3,8.372787,0.36502635
hebrew_prompts6,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,2,13.097967,0.6607534
hebrew_prompts6,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,6,9.232635,0.51794666
hebrew_prompts6,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,6,12.855623,0.9948743
hebrew_prompts6,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,7,9.405687,0.38930583
hebrew_prompts6,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,2,8.291541,0.3380853
hebrew_prompts6,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,6,8.053395,0.58500683
hebrew_prompts6,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,7,7.444294,0.8330058
hebrew_prompts6,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,2,7.2127943,0.37668902
hebrew_prompts6,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,6,9.777262,0.92659426
hebrew_prompts6,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,2,8.765066,0.27362406
hebrew_prompts6,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,7,6.413015,0.38023677
hebrew_prompts6,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,6,9.430828,0.96257037
hebrew_prompts6,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,6,7.5754514,0.671029
hebrew_prompts6,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,6,9.3060465,0.8952391
hebrew_prompts6,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,6,8.198207,0.6516862
hebrew_prompts6,data/test/drawing/IMP-1923-12-21-a-i0030.jpg,0,6,6.762083,0.25027984
hebrew_prompts6,data/test/drawing/IMP-1951-08-20-a-i0080.jpg,0,4,11.64977,0.39185354
hebrew_prompts6,data/test/drawing/IMP-1981-02-18-a-i0085_4.jpg,0,6,9.851198,0.9244975
hebrew_prompts6,data/test/drawing/EXP-1979-08-17-a-i0337.jpg,0,2,7.6971016,0.28737876
hebrew_prompts6,data/test/drawing/EXP-1974-05-25-a-i0325_4.jpg,0,6,5.1697435,0.61313564
hebrew_prompts6,data/test/drawing/IMP-1981-02-18-a-i0085_5.jpg,0,6,7.736968,0.6885626
hebrew_prompts6,data/test/drawing/GDL-1979-06-15-a-i0026_2.jpg,0,6,6.8494983,0.55890256
hebrew_prompts6,data/test/drawing/JDG-1966-05-31-a-i0021.jpg,0,6,8.660663,0.48518378
hebrew_prompts6,data/test/drawing/IMP-1903-01-14-a-i0031.jpg,0,6,8.837837,0.6532202
hebrew_prompts6,data/test/drawing/JDG-1974-01-17-a-i0097.jpg,0,6,8.635249,0.69655234
hebrew_prompts6,data/test/drawing/EXP-1924-06-06-a-i0046.jpg,0,7,9.502609,0.52740914
hebrew_prompts6,data/test/drawing/IMP-1915-04-08-a-i0038_2.jpg,0,6,12.062774,0.9479285
hebrew_prompts6,data/test/drawing/IMP-1925-01-09-a-i0030.jpg,0,7,9.730831,0.59491926
hebrew_prompts6,data/test/drawing/IMP-1929-10-16-a-i0005.jpg,0,7,5.511005,0.21520817
hebrew_prompts6,data/test/drawing/EXP-1969-05-13-a-i0056.jpg,0,6,9.480099,0.8778272
hebrew_prompts6,data/test/drawing/IMP-1906-12-16-a-i0013.jpg,0,7,4.78468,0.26866612
hebrew_prompts6,data/test/drawing/EXP-1966-11-25-a-i0334.jpg,0,7,7.603082,0.31696817
hebrew_prompts6,data/test/drawing/EXP-1974-05-25-a-i0325_2.jpg,0,6,7.1105566,0.8190612
hebrew_prompts6,data/test/drawing/IMP-1981-02-18-a-i0085.jpg,0,6,9.774819,0.9541059
hebrew_prompts6,data/test/drawing/LCE-1915-02-13-a-i0032.jpg,0,2,10.049547,0.42566606
hebrew_prompts6,data/test/drawing/IMP-1915-05-18-a-i0007.jpg,0,6,7.3186216,0.4274511
hebrew_prompts6,data/test/drawing/IMP-2001-07-17-a-i0177_2.jpg,0,6,11.257921,0.92436075
hebrew_prompts6,data/test/drawing/EXP-1932-07-26-a-i0078.jpg,0,2,5.183823,0.57595396
hebrew_prompts6,data/test/drawing/IMP-1937-02-16-a-i0012.jpg,0,6,8.219457,0.4671237
hebrew_prompts6,data/test/drawing/IMP-1984-11-06-a-i0005.jpg,0,2,10.635012,0.40674943
hebrew_prompts6,data/test/drawing/JDG-1977-06-04-a-i0219.jpg,0,6,12.714201,0.97313267
hebrew_prompts6,data/test/drawing/IMP-2001-07-17-a-i0177.jpg,0,6,11.439356,0.65542865
hebrew_prompts6,data/test/drawing/EXP-1972-07-08-a-i0361.jpg,0,6,13.994261,0.71549314
hebrew_prompts6,data/test/drawing/IMP-1936-06-23-a-i0069.jpg,0,2,9.195797,0.33197147
hebrew_prompts6,data/test/drawing/JDG-1968-10-25-a-i0086.jpg,0,7,10.902472,0.87180483
hebrew_prompts6,data/test/drawing/GDL-1975-12-13-a-i0099.jpg,0,6,7.7521696,0.47199857
hebrew_prompts6,data/test/drawing/IMP-1993-09-25-a-i0275.jpg,0,6,5.792999,0.65894127
hebrew_prompts6,data/test/drawing/IMP-1904-04-09-a-i0002.jpg,0,6,9.20716,0.9033737
hebrew_prompts6,data/test/drawing/GDL-1953-05-30-a-i0173.jpg,0,6,7.956623,0.51712495
hebrew_prompts6,data/test/drawing/IMP-1901-05-29-a-i0035.jpg,0,6,13.311321,0.8196444
hebrew_prompts6,data/test/title/LCE-1942-05-20-a-i0019.jpg,7,7,5.6097827,0.4639831
hebrew_prompts6,data/test/title/LCE-1911-10-18-a-i0084.jpg,7,6,9.382125,0.9646774
hebrew_prompts6,data/test/title/LCE-1921-12-09-a-i0059.jpg,7,6,9.160041,0.9409932
hebrew_prompts6,data/test/title/LCE-1901-06-01-a-i0012.jpg,7,7,7.778556,0.5016373
hebrew_prompts6,data/test/title/LCE-1932-07-15-a-i0019.jpg,7,6,9.305555,0.9738298
hebrew_prompts6,data/test/title/LCE-1911-12-06-a-i0016.jpg,7,7,4.0573597,0.6516509
hebrew_prompts6,data/test/title/LCE-1906-07-25-a-i0010.jpg,7,6,5.2126346,0.3035693
hebrew_prompts6,data/test/title/LCE-1908-01-22-a-i0011_2.jpg,7,7,4.1619425,0.6595042
hebrew_prompts6,data/test/title/LCE-1942-01-21-a-i0014.jpg,7,6,5.372743,0.36660862
hebrew_prompts6,data/test/title/LCE-1906-10-13-a-i0019.jpg,7,6,8.303183,0.8978695
hebrew_prompts6,data/test/title/LCE-1944-03-31-a-i0017.jpg,7,6,7.2819467,0.79269063
hebrew_prompts6,data/test/title/LCE-1910-04-27-a-i0002.jpg,7,7,3.8773346,0.45632392
hebrew_prompts6,data/test/title/LCE-1913-03-01-a-i0008.jpg,7,7,7.175784,0.5622805
hebrew_prompts6,data/test/title/LCE-1910-04-02-a-i0009.jpg,7,7,5.589844,0.4749752
hebrew_prompts6,data/test/title/LCE-1952-05-02-a-i0002.jpg,7,6,6.0641427,0.70415694
hebrew_prompts6,data/test/title/LCE-1900-03-17-a-i0006.jpg,7,7,4.8916035,0.445596
hebrew_prompts6,data/test/title/LCE-1953-06-26-a-i0014.jpg,7,7,5.980161,0.43291107
hebrew_prompts6,data/test/title/LCE-1912-11-23-a-i0020.jpg,7,6,9.529778,0.95975304
hebrew_prompts6,data/test/title/LCE-1914-05-15-a-i0014.jpg,7,7,4.0600734,0.62739575
hebrew_prompts6,data/test/title/LCE-1908-03-07-a-i0008.jpg,7,6,9.2538,0.9632416
hebrew_prompts6,data/test/title/LCE-1905-04-08-a-i0010.jpg,7,6,6.938307,0.40955463
hebrew_prompts6,data/test/title/LCE-1948-04-05-a-i0009.jpg,7,6,6.2566833,0.44303298
hebrew_prompts6,data/test/title/LCE-1931-05-08-a-i0014.jpg,7,6,5.8377895,0.4033882
hebrew_prompts6,data/test/title/LCE-1913-04-09-a-i0015.jpg,7,6,5.7400675,0.5909497
hebrew_prompts6,data/test/title/LCE-1900-08-29-a-i0011.jpg,7,7,7.4163876,0.5117866
hebrew_prompts6,data/test/title/LCE-1912-10-19-a-i0010.jpg,7,6,7.044074,0.5014679
