Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
mandarin_prompts2,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,4,6.535838,0.88434607
mandarin_prompts2,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,4,8.031421,0.9461571
mandarin_prompts2,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,4,6.936246,0.6537415
mandarin_prompts2,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,4,9.88601,0.9927341
mandarin_prompts2,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,15.974651,0.9998951
mandarin_prompts2,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,12.221639,0.9965708
mandarin_prompts2,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,4,9.688508,0.9660593
mandarin_prompts2,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,4,8.290123,0.91338974
mandarin_prompts2,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,4,6.638727,0.922647
mandarin_prompts2,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,4,11.3042965,0.83614933
mandarin_prompts2,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,4,15.668598,0.99997246
mandarin_prompts2,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,4,8.345312,0.55321866
mandarin_prompts2,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,4,9.81627,0.9679805
mandarin_prompts2,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,13.493706,0.99877375
mandarin_prompts2,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,13.972076,0.99931395
mandarin_prompts2,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,4,9.627699,0.9335856
mandarin_prompts2,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,4,6.5402646,0.77835757
mandarin_prompts2,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,1,8.29879,0.39955598
mandarin_prompts2,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,4,6.676451,0.79301023
mandarin_prompts2,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,0,8.393729,0.86478704
mandarin_prompts2,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,4,6.4361534,0.5388145
mandarin_prompts2,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,15.882618,0.9969302
mandarin_prompts2,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,4,9.46823,0.7732039
mandarin_prompts2,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,14.768313,0.9997428
mandarin_prompts2,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,15.227922,0.99874485
mandarin_prompts2,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,4,9.894936,0.8344037
mandarin_prompts2,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,4,12.857561,0.99550277
mandarin_prompts2,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,4,8.331665,0.90916204
mandarin_prompts2,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,4,15.741425,0.9978314
mandarin_prompts2,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,4,8.509071,0.5632659
mandarin_prompts2,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,4,10.392874,0.88839674
mandarin_prompts2,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,4,12.032737,0.93407553
mandarin_prompts2,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,4,9.372119,0.89034444
mandarin_prompts2,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,4,10.49254,0.8836831
mandarin_prompts2,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,4,11.785444,0.9385679
mandarin_prompts2,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,4,9.263126,0.9787405
mandarin_prompts2,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,4,8.86581,0.5459952
mandarin_prompts2,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,4,11.811207,0.8363816
mandarin_prompts2,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,4,15.793585,0.99987304
mandarin_prompts2,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,4,17.42336,0.99905616
mandarin_prompts2,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,4,9.652207,0.928533
mandarin_prompts2,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,4,7.6801405,0.8616938
mandarin_prompts2,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,4,15.288357,0.9994904
mandarin_prompts2,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,4,9.943928,0.79123914
mandarin_prompts2,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,4,10.144289,0.90503526
mandarin_prompts2,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,5,5.713229,0.56811464
mandarin_prompts2,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,4,8.975641,0.90153456
mandarin_prompts2,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,4,8.2202,0.74175644
mandarin_prompts2,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,1,5.83594,0.4002542
mandarin_prompts2,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,4,10.67181,0.9859357
mandarin_prompts2,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,2,7.9081116,0.58643836
mandarin_prompts2,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,4,11.000708,0.9228159
mandarin_prompts2,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,4,8.371103,0.84263194
mandarin_prompts2,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,4,12.4232025,0.96424806
mandarin_prompts2,data/test/drawing/IMP-1923-12-21-a-i0030.jpg,0,4,10.57066,0.9860693
mandarin_prompts2,data/test/drawing/IMP-1951-08-20-a-i0080.jpg,0,4,17.2647,0.9958377
mandarin_prompts2,data/test/drawing/IMP-1981-02-18-a-i0085_4.jpg,0,0,5.7843857,0.43485326
mandarin_prompts2,data/test/drawing/EXP-1979-08-17-a-i0337.jpg,0,4,12.683894,0.99112564
mandarin_prompts2,data/test/drawing/EXP-1974-05-25-a-i0325_4.jpg,0,4,4.7165027,0.88110465
mandarin_prompts2,data/test/drawing/IMP-1981-02-18-a-i0085_5.jpg,0,4,7.2008495,0.75772786
mandarin_prompts2,data/test/drawing/GDL-1979-06-15-a-i0026_2.jpg,0,4,10.94933,0.9804848
mandarin_prompts2,data/test/drawing/JDG-1966-05-31-a-i0021.jpg,0,0,9.349464,0.49172255
mandarin_prompts2,data/test/drawing/IMP-1903-01-14-a-i0031.jpg,0,4,7.8363132,0.9425271
mandarin_prompts2,data/test/drawing/JDG-1974-01-17-a-i0097.jpg,0,2,7.298891,0.4908464
mandarin_prompts2,data/test/drawing/EXP-1924-06-06-a-i0046.jpg,0,4,8.342068,0.8653026
mandarin_prompts2,data/test/drawing/IMP-1915-04-08-a-i0038_2.jpg,0,4,6.76622,0.5362898
mandarin_prompts2,data/test/drawing/IMP-1925-01-09-a-i0030.jpg,0,4,9.667601,0.974895
mandarin_prompts2,data/test/drawing/IMP-1929-10-16-a-i0005.jpg,0,4,12.71859,0.98416555
mandarin_prompts2,data/test/drawing/EXP-1969-05-13-a-i0056.jpg,0,4,7.4864893,0.5543071
mandarin_prompts2,data/test/drawing/IMP-1906-12-16-a-i0013.jpg,0,0,5.7512927,0.63329566
mandarin_prompts2,data/test/drawing/EXP-1966-11-25-a-i0334.jpg,0,4,10.464765,0.77786475
mandarin_prompts2,data/test/drawing/EXP-1974-05-25-a-i0325_2.jpg,0,4,8.101051,0.6676363
mandarin_prompts2,data/test/drawing/IMP-1981-02-18-a-i0085.jpg,0,4,10.109239,0.94704616
mandarin_prompts2,data/test/drawing/LCE-1915-02-13-a-i0032.jpg,0,4,11.151136,0.9933343
mandarin_prompts2,data/test/drawing/IMP-1915-05-18-a-i0007.jpg,0,1,7.6242247,0.5730981
mandarin_prompts2,data/test/drawing/IMP-2001-07-17-a-i0177_2.jpg,0,4,9.021543,0.43526322
mandarin_prompts2,data/test/drawing/EXP-1932-07-26-a-i0078.jpg,0,4,6.0505104,0.8155765
mandarin_prompts2,data/test/drawing/IMP-1937-02-16-a-i0012.jpg,0,4,15.94757,0.9999335
mandarin_prompts2,data/test/drawing/IMP-1984-11-06-a-i0005.jpg,0,4,12.707567,0.9976826
mandarin_prompts2,data/test/drawing/JDG-1977-06-04-a-i0219.jpg,0,2,11.8817215,0.8100604
mandarin_prompts2,data/test/drawing/IMP-2001-07-17-a-i0177.jpg,0,4,12.556573,0.9418567
mandarin_prompts2,data/test/drawing/EXP-1972-07-08-a-i0361.jpg,0,4,10.77345,0.9049575
mandarin_prompts2,data/test/drawing/IMP-1936-06-23-a-i0069.jpg,0,4,14.79933,0.9996063
mandarin_prompts2,data/test/drawing/JDG-1968-10-25-a-i0086.jpg,0,4,11.857111,0.93058515
mandarin_prompts2,data/test/drawing/GDL-1975-12-13-a-i0099.jpg,0,4,9.840378,0.9487319
mandarin_prompts2,data/test/drawing/IMP-1993-09-25-a-i0275.jpg,0,4,9.694885,0.9494114
mandarin_prompts2,data/test/drawing/IMP-1904-04-09-a-i0002.jpg,0,4,7.9286337,0.63407826
mandarin_prompts2,data/test/drawing/GDL-1953-05-30-a-i0173.jpg,0,4,9.715602,0.6217396
mandarin_prompts2,data/test/drawing/IMP-1901-05-29-a-i0035.jpg,0,4,12.180571,0.9791038
mandarin_prompts2,data/test/title/LCE-1942-05-20-a-i0019.jpg,7,2,5.8449035,0.57804096
mandarin_prompts2,data/test/title/LCE-1911-10-18-a-i0084.jpg,7,4,4.1057944,0.5361174
mandarin_prompts2,data/test/title/LCE-1921-12-09-a-i0059.jpg,7,4,4.422453,0.44633588
mandarin_prompts2,data/test/title/LCE-1901-06-01-a-i0012.jpg,7,4,6.9551706,0.71509045
mandarin_prompts2,data/test/title/LCE-1932-07-15-a-i0019.jpg,7,1,3.3650904,0.4137655
mandarin_prompts2,data/test/title/LCE-1911-12-06-a-i0016.jpg,7,2,7.371345,0.8458983
mandarin_prompts2,data/test/title/LCE-1906-07-25-a-i0010.jpg,7,2,3.2539537,0.33238092
mandarin_prompts2,data/test/title/LCE-1908-01-22-a-i0011_2.jpg,7,2,6.582156,0.8076786
mandarin_prompts2,data/test/title/LCE-1942-01-21-a-i0014.jpg,7,1,4.554536,0.40355244
mandarin_prompts2,data/test/title/LCE-1906-10-13-a-i0019.jpg,7,4,3.570795,0.42264292
mandarin_prompts2,data/test/title/LCE-1944-03-31-a-i0017.jpg,7,2,5.935608,0.6424789
mandarin_prompts2,data/test/title/LCE-1910-04-27-a-i0002.jpg,7,4,6.9125695,0.6929563
mandarin_prompts2,data/test/title/LCE-1913-03-01-a-i0008.jpg,7,4,9.086554,0.84436077
mandarin_prompts2,data/test/title/LCE-1910-04-02-a-i0009.jpg,7,4,6.6934357,0.6845585
mandarin_prompts2,data/test/title/LCE-1952-05-02-a-i0002.jpg,7,0,3.2291818,0.26005685
mandarin_prompts2,data/test/title/LCE-1900-03-17-a-i0006.jpg,7,4,5.2020235,0.63656706
mandarin_prompts2,data/test/title/LCE-1953-06-26-a-i0014.jpg,7,2,8.535072,0.7357476
mandarin_prompts2,data/test/title/LCE-1912-11-23-a-i0020.jpg,7,4,4.5430636,0.44202235
mandarin_prompts2,data/test/title/LCE-1914-05-15-a-i0014.jpg,7,4,8.161131,0.8645487
mandarin_prompts2,data/test/title/LCE-1908-03-07-a-i0008.jpg,7,4,5.5108376,0.55648726
mandarin_prompts2,data/test/title/LCE-1905-04-08-a-i0010.jpg,7,4,6.030039,0.7217532
mandarin_prompts2,data/test/title/LCE-1948-04-05-a-i0009.jpg,7,4,4.0709105,0.35733774
mandarin_prompts2,data/test/title/LCE-1931-05-08-a-i0014.jpg,7,1,5.95913,0.3094917
mandarin_prompts2,data/test/title/LCE-1913-04-09-a-i0015.jpg,7,1,4.143834,0.32853365
mandarin_prompts2,data/test/title/LCE-1900-08-29-a-i0011.jpg,7,4,6.8807416,0.6445806
mandarin_prompts2,data/test/title/LCE-1912-10-19-a-i0010.jpg,7,4,6.114218,0.6568899
mandarin_prompts2,data/test/title/LCE-1907-01-01-a-i0016.jpg,7,2,8.366011,0.7688131
mandarin_prompts2,data/test/title/LCE-1919-12-12-a-i0013.jpg,7,4,8.411163,0.90390176
mandarin_prompts2,data/test/title/LCE-1909-08-11-a-i0007_2.jpg,7,2,6.5503855,0.84025383
mandarin_prompts2,data/test/title/LCE-1914-06-19-a-i0015.jpg,7,4,6.641285,0.8293131
mandarin_prompts2,data/test/title/LCE-1904-07-02-a-i0002.jpg,7,4,8.522701,0.9649212
mandarin_prompts2,data/test/title/LCE-1904-06-15-a-i0019.jpg,7,1,4.8831215,0.40837616
mandarin_prompts2,data/test/title/LCE-1943-01-27-a-i0017.jpg,7,2,4.8658032,0.46340618
mandarin_prompts2,data/test/title/LCE-1908-08-05-a-i0017.jpg,7,2,8.85328,0.76490366
mandarin_prompts2,data/test/title/LCE-1904-01-20-a-i0002.jpg,7,4,6.4783673,0.6030884
mandarin_prompts2,data/test/title/LCE-1908-03-28-a-i0012.jpg,7,4,7.0216603,0.5797107
mandarin_prompts2,data/test/title/LCE-1914-07-10-a-i0015.jpg,7,2,5.5740604,0.32133508
mandarin_prompts2,data/test/title/LCE-1906-06-06-a-i0018.jpg,7,1,2.6472316,0.3903241
mandarin_prompts2,data/test/title/LCE-1912-10-12-a-i0009.jpg,7,2,8.211312,0.5362602
mandarin_prompts2,data/test/title/LCE-1958-06-16-a-i0011.jpg,7,2,5.561864,0.57494396
mandarin_prompts2,data/test/title/LCE-1935-06-10-a-i0011.jpg,7,2,5.788284,0.55127233
mandarin_prompts2,data/test/title/LCE-1914-05-01-a-i0002.jpg,7,4,5.9673653,0.65202683
mandarin_prompts2,data/test/title/LCE-1903-04-15-a-i0005.jpg,7,2,3.2710314,0.25842384
mandarin_prompts2,data/test/title/LCE-1913-01-08-a-i0015.jpg,7,4,7.683553,0.6839162
mandarin_prompts2,data/test/title/LCE-1904-07-27-a-i0010.jpg,7,4,5.8509536,0.47216383
mandarin_prompts2,data/test/title/LCE-1920-12-03-a-i0084.jpg,7,1,4.9854717,0.3061575
mandarin_prompts2,data/test/title/LCE-1907-12-28-a-i0001.jpg,7,4,4.53327,0.5000565
mandarin_prompts2,data/test/title/LCE-1931-07-10-a-i0012.jpg,7,4,4.5406218,0.3648996
mandarin_prompts2,data/test/title/LCE-1941-08-18-a-i0015.jpg,7,4,3.4407282,0.3879876
mandarin_prompts2,data/test/title/LCE-1901-02-16-a-i0011.jpg,7,4,6.5893507,0.4720025
mandarin_prompts2,data/test/title/LCE-1942-01-02-a-i0012.jpg,7,1,5.826003,0.40698096
mandarin_prompts2,data/test/title/LCE-1907-08-14-a-i0009.jpg,7,4,4.6168957,0.31755593
mandarin_prompts2,data/test/title/LCE-1933-10-09-a-i0017.jpg,7,4,6.853891,0.48753867
mandarin_prompts2,data/test/title/LCE-1914-05-11-a-i0016.jpg,7,4,7.382897,0.7737345
mandarin_prompts2,data/test/title/LCE-1911-10-18-a-i0002.jpg,7,4,8.578895,0.8825521
mandarin_prompts2,data/test/title/LCE-1919-07-12-a-i0020.jpg,7,2,4.4730463,0.41446224
mandarin_prompts2,data/test/title/LCE-1902-02-19-a-i0007.jpg,7,4,7.1939316,0.7708188
