Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
noun-phrase,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,15.363829,0.6315082
noun-phrase,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,18.735912,0.9814036
noun-phrase,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,2,15.392204,0.775346
noun-phrase,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,14.00052,0.7433698
noun-phrase,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,14.710329,0.9484598
noun-phrase,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,14.49744,0.86512864
noun-phrase,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,3,16.796352,0.85638297
noun-phrase,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,14.408696,0.9933676
noun-phrase,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,13.878384,0.56283
noun-phrase,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,15.006332,0.90063846
noun-phrase,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,16.752737,0.98557186
noun-phrase,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,12.329224,0.7003909
noun-phrase,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,11.724867,0.7691434
noun-phrase,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,14.178696,0.9761379
noun-phrase,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,12.010695,0.84939545
noun-phrase,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,20.989914,0.9993819
noun-phrase,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,6,20.84118,0.99834883
noun-phrase,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,6,19.248789,0.99690574
noun-phrase,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,0,16.620716,0.48136592
noun-phrase,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,6,18.806126,0.9977597
noun-phrase,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,6,17.097775,0.99854255
noun-phrase,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,14.574755,0.97726154
noun-phrase,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,0,10.977015,0.42145312
noun-phrase,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,14.114254,0.9770882
noun-phrase,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,11.809224,0.8207781
noun-phrase,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,0,12.077309,0.74867845
noun-phrase,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,0,11.789624,0.5299992
noun-phrase,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,12.285121,0.8968702
noun-phrase,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,4,13.400919,0.6668935
noun-phrase,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,0,10.193699,0.6519823
noun-phrase,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,4,11.076476,0.74231815
noun-phrase,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,15.329019,0.94353145
noun-phrase,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,16.222286,0.8314499
noun-phrase,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,0,14.357523,0.85746574
noun-phrase,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,4,13.916939,0.93403274
noun-phrase,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,0,15.525204,0.574702
noun-phrase,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,6,16.345,0.99260277
noun-phrase,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,3,12.75271,0.61169934
noun-phrase,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,0,12.4389305,0.74583435
noun-phrase,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,4,14.702074,0.9846752
noun-phrase,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,0,15.248188,0.9702754
noun-phrase,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,6,14.685981,0.8301033
noun-phrase,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,4,16.377907,0.98982835
noun-phrase,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,6,14.555555,0.9592906
noun-phrase,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,4,12.2718725,0.7678357
noun-phrase,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,5,14.845693,0.9877857
noun-phrase,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,4,10.799618,0.53118753
noun-phrase,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,5,13.002174,0.4744717
noun-phrase,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,3,15.377232,0.8338319
noun-phrase,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,0,15.158115,0.9491292
noun-phrase,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,3,20.62016,0.9997793
noun-phrase,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,4,11.559597,0.49497077
noun-phrase,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,0,15.63592,0.8459565
noun-phrase,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,6,12.362188,0.49309796
noun-phrase,data/test/drawing/IMP-1923-12-21-a-i0030.jpg,0,0,13.867683,0.7951555
noun-phrase,data/test/drawing/IMP-1951-08-20-a-i0080.jpg,0,4,15.029703,0.9966114
noun-phrase,data/test/drawing/IMP-1981-02-18-a-i0085_4.jpg,0,6,16.041111,0.87191385
noun-phrase,data/test/drawing/EXP-1979-08-17-a-i0337.jpg,0,3,11.021654,0.5162721
noun-phrase,data/test/drawing/EXP-1974-05-25-a-i0325_4.jpg,0,4,12.024051,0.6134565
