File Path,Prompt,Class Name,Predicted Text
../data/test/title/LCE-1913-01-08-a-i0015.jpg,"<image>Classify this image into one of the following classes: comic, drawing, game, graph, logo, map, photo, title. ",title,001
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>Is this a comic or a drawing or a game or a graph or a logo or a map or a photo or a title? ,title,It's all of the above.
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>Classify this image. ,title,The letter E.
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>What class of image is this? ,title,The letter E.
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>How would you classify this image? ,title,The letter 'E' is shown.
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>What type of image is this? ,title,The letter E.
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>Describe this image. ,title,The letter E.
../data/test/title/LCE-1913-01-08-a-i0015.jpg,"<image>Describe the content, structure, visual features, textual information and context of this image. ",title,The letter E
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>Caption this image. ,title,The letter E.
../data/test/title/LCE-1911-12-06-a-i0016.jpg,"<image>Classify this image into one of the following classes: comic, drawing, game, graph, logo, map, photo, title. ",title,001.jpg
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>Is this a comic or a drawing or a game or a graph or a logo or a map or a photo or a title? ,title,It's all of the above.
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>Classify this image. ,title,Letter E al
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>What class of image is this? ,title,The letter E.
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>How would you classify this image? ,title,The letter E.
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>What type of image is this? ,title,The letter E.
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>Describe this image. ,title,The letter E.
../data/test/title/LCE-1911-12-06-a-i0016.jpg,"<image>Describe the content, structure, visual features, textual information and context of this image. ",title,E
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>Caption this image. ,title,The letter E.
../data/test/title/LCE-1948-06-09-a-i0015.jpg,"<image>Classify this image into one of the following classes: comic, drawing, game, graph, logo, map, photo, title. ",title,The letter E
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>Is this a comic or a drawing or a game or a graph or a logo or a map or a photo or a title? ,title,I'm not sure.
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>Classify this image. ,title,Letter F F
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>What class of image is this? ,title,Letter F F
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>How would you classify this image? ,title,Letter F F
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>What type of image is this? ,title,Letter F F
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>Describe this image. ,title,It is a black and white image of a letter E.
../data/test/title/LCE-1948-06-09-a-i0015.jpg,"<image>Describe the content, structure, visual features, textual information and context of this image. ",title,The letter E
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>Caption this image. ,title,The letter E.
../data/test/title/LCE-1943-01-27-a-i0017.jpg,"<image>Classify this image into one of the following classes: comic, drawing, game, graph, logo, map, photo, title. ",title,001
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>Is this a comic or a drawing or a game or a graph or a logo or a map or a photo or a title? ,title,I'm not sure.
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>Classify this image. ,title,The letter 'E' is printed in black on a white background.  The letter '
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>What class of image is this? ,title,It is a black and white image of the letter E.
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>How would you classify this image? ,title,It is a black and white image of the letter E.
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>What type of image is this? ,title,It is a black and white image of the letter E.
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>Describe this image. ,title,It is a black and white image of a letter E.
../data/test/title/LCE-1943-01-27-a-i0017.jpg,"<image>Describe the content, structure, visual features, textual information and context of this image. ",title,"Describe the content, structure, visual features, textual information and context of this image"
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>Caption this image. ,title,The letter E.
../data/test/title/LCE-1907-08-14-a-i0009.jpg,"<image>Classify this image into one of the following classes: comic, drawing, game, graph, logo, map, photo, title. ",title,The letter N.
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>Is this a comic or a drawing or a game or a graph or a logo or a map or a photo or a title? ,title,It's a letter N.
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>Classify this image. ,title,N letter. 
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>What class of image is this? ,title,The letter N
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>How would you classify this image? ,title,The letter N
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>What type of image is this? ,title,The letter N
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>Describe this image. ,title,The letter N.
../data/test/title/LCE-1907-08-14-a-i0009.jpg,"<image>Describe the content, structure, visual features, textual information and context of this image. ",title,The letter N
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>Caption this image. ,title,The letter N.
../data/test/title/LCE-1952-02-27-a-i0002.jpg,"<image>Classify this image into one of the following classes: comic, drawing, game, graph, logo, map, photo, title. ",title,Letter Alphabet 
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>Is this a comic or a drawing or a game or a graph or a logo or a map or a photo or a title? ,title,It's a letter.
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>Classify this image. ,title,Letter L | 
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>What class of image is this? ,title,The letter L.
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>How would you classify this image? ,title,The letter L.
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>What type of image is this? ,title,The letter L.
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>Describe this image. ,title,The letter L.
../data/test/title/LCE-1952-02-27-a-i0002.jpg,"<image>Describe the content, structure, visual features, textual information and context of this image. ",title,The letter L
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>Caption this image. ,title,The letter L.
../data/test/title/LCE-1906-02-03-a-i0003.jpg,"<image>Classify this image into one of the following classes: comic, drawing, game, graph, logo, map, photo, title. ",title,001
../data/test/title/LCE-1906-02-03-a-i0003.jpg,<image>Is this a comic or a drawing or a game or a graph or a logo or a map or a photo or a title? ,title,I'm not sure.
../data/test/title/LCE-1906-02-03-a-i0003.jpg,<image>Classify this image. ,title,Letter L | 
../data/test/title/LCE-1906-02-03-a-i0003.jpg,<image>What class of image is this? ,title,I have no idea.
