,Image_path,True_label,Prediction,Scores
0,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,"(15.461097, 5.181412, 9.8399935, 4.536309, 4.8039656, 10.265395, 2.1092408, 14.832239, 6.9873095, 8.355079)"
1,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,"(15.542951, 4.2862115, 10.430597, 9.3118725, 7.393037, 12.847292, 2.0323699, 11.328827, 9.600103, 6.780609)"
2,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,2,"(10.979922, 3.4517403, 13.979488, 8.888916, 5.1841154, 11.960011, 0.06793654, 9.685381, 6.260928, 5.4365625)"
3,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,"(12.2340145, 4.4978776, 8.612483, 6.6247206, 4.9612875, 7.9991684, 0.77971345, 11.005059, 6.4341297, 6.806258)"
4,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,"(8.933716, 5.614454, 8.606612, 6.316169, 11.704708, 7.9779663, 2.046534, 4.7962213, 9.802624, 6.541704)"
5,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,"(9.155938, 3.373529, 1.504504, 2.3534496, 10.320519, 8.572784, -0.78545105, 3.9860501, 2.0119112, 2.6353512)"
6,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,0,"(11.970413, 6.4291215, 10.314798, 11.12739, 4.712641, 8.832968, 1.4850702, 10.970109, 10.927744, 7.583969)"
7,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,"(6.1213603, 4.7172136, 4.750991, 9.906103, 6.1161003, 7.1316338, 1.6098739, 3.039676, 6.7281313, 4.0992894)"
8,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,"(12.710453, 3.836892, 8.495348, 4.3482428, 6.112533, 10.04899, 0.27839717, 12.567137, 7.4025426, 7.5714374)"
9,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,"(13.041777, 2.6365259, 7.6630716, 5.8840218, 5.131639, 7.6724844, -0.6340717, 9.745369, 3.8085847, 7.2626553)"
10,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,"(12.044806, 2.1800725, 5.396778, 3.968603, 8.400803, 8.010565, 1.7221696, 6.892364, 5.0257435, 5.556507)"
11,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,"(11.653503, 4.2693453, 7.0297394, 9.868334, 6.403568, 10.025787, 6.8152146, 6.565338, 4.4445734, 4.153925)"
12,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,"(9.441044, 1.0663575, 5.7417526, 2.494954, 6.5032773, 6.202824, -1.8754623, 6.636804, 4.0758586, 3.4679809)"
13,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,"(8.513877, 9.291827, 5.568123, 7.022952, 12.233759, 8.27434, 4.090759, 2.988861, 7.9580693, 5.7663865)"
14,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,"(7.814705, 4.377052, 4.848526, 0.8703625, 10.417587, 9.027486, 1.7739232, 3.3282437, 6.609125, 5.2160883)"
15,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,"(11.628696, 5.915132, 9.138004, 15.291208, 4.7468953, 11.009811, 4.852513, 8.336327, 11.299538, 4.584535)"
16,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,5,"(12.128415, 0.7665806, 9.213638, 7.4579525, 7.1479964, 13.000896, -0.3223124, 10.78673, 6.2971373, 5.3064604)"
