Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
class-names,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,16.980043,0.7450833
class-names,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,3,18.788372,0.8420606
class-names,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,2,15.54624,0.57634205
class-names,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,13.408067,0.57533705
class-names,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,13.196655,0.77898294
class-names,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,12.078779,0.78531814
class-names,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,3,17.759907,0.97799414
class-names,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,13.738449,0.9965593
class-names,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,13.914982,0.51540315
class-names,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,14.684738,0.931579
class-names,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,13.704281,0.69316417
class-names,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,13.665701,0.70959866
class-names,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,3,11.150753,0.71117616
class-names,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,3,13.68659,0.5074098
class-names,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,11.481686,0.86786324
class-names,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,21.96217,0.9998888
class-names,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,5,13.773024,0.54141307
class-names,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,6,17.740234,0.99934155
class-names,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,3,19.393356,0.87921417
class-names,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,6,12.263257,0.8639636
class-names,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,6,14.74719,0.98909235
class-names,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,12.72037,0.73098224
class-names,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,3,10.543663,0.8059095
class-names,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,12.463296,0.98562336
class-names,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,12.005268,0.9520055
class-names,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,3,12.92506,0.5691225
class-names,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,3,11.786909,0.86325216
class-names,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,10.473865,0.46177813
class-names,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,3,15.460774,0.9837713
class-names,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,3,10.870285,0.8331241
class-names,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,5,12.835024,0.7928009
class-names,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,16.796124,0.9983368
class-names,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,16.747046,0.6954767
class-names,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,0,12.944622,0.86402845
class-names,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,4,11.095274,0.76335347
class-names,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,0,16.117315,0.50527984
class-names,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,6,12.775028,0.5658347
class-names,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,3,12.210527,0.8319931
class-names,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,4,12.709881,0.8664427
class-names,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,4,12.618271,0.9279015
class-names,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,0,15.186687,0.95741194
class-names,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,5,14.554962,0.81781465
class-names,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,4,13.961656,0.7657938
class-names,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,3,9.586985,0.39381897
class-names,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,4,10.93719,0.63688916
class-names,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,5,18.722023,0.9996859
class-names,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,3,10.78208,0.7619196
class-names,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,5,17.483366,0.97543144
class-names,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,3,17.58345,0.98947537
class-names,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,0,14.7971325,0.7953916
class-names,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,3,19.97882,0.99901843
class-names,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,3,12.213031,0.57802695
class-names,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,0,14.824898,0.9316745
class-names,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,4,9.680405,0.47661772
