Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
class-names-french,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,4,15.771801,0.9766297
class-names-french,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,3,17.855728,0.55056775
class-names-french,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,3,15.10381,0.87439746
class-names-french,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,4,16.461233,0.9906516
class-names-french,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,3,12.588499,0.9234734
class-names-french,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,15.560541,0.99373794
class-names-french,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,3,16.903645,0.69950736
class-names-french,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,13.041702,0.9951717
class-names-french,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,4,14.699772,0.904619
class-names-french,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,4,14.702837,0.9406628
class-names-french,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,4,13.57095,0.78954697
class-names-french,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,4,14.715558,0.9280013
class-names-french,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,4,16.855244,0.99836236
class-names-french,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,19.346302,0.9402004
class-names-french,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,12.033781,0.87385595
class-names-french,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,20.950596,0.99989355
class-names-french,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,4,13.199066,0.65107495
class-names-french,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,4,9.638084,0.7516148
class-names-french,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,3,19.389795,0.9721367
class-names-french,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,4,12.148293,0.9882139
class-names-french,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,4,10.524677,0.8915729
class-names-french,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,16.216238,0.996971
class-names-french,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,4,12.460691,0.7661218
class-names-french,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,12.65846,0.9140782
class-names-french,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,11.835991,0.91774595
class-names-french,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,3,12.443872,0.8875439
class-names-french,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,4,17.115738,0.99792236
class-names-french,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,4,12.513817,0.9631419
class-names-french,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,3,14.024865,0.58459884
class-names-french,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,3,10.978344,0.6751611
class-names-french,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,4,16.278757,0.99005264
class-names-french,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,16.150446,0.98475075
class-names-french,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,4,16.79148,0.9966916
class-names-french,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,5,10.847939,0.48988703
