Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
italian,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,16.0547,0.9787066
italian,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,3,17.818413,0.5044225
italian,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,3,15.759008,0.98071206
italian,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,13.069098,0.8086385
italian,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,14.005135,0.87172145
italian,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,3,10.770223,0.678568
italian,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,3,17.551357,0.9507496
italian,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,12.715961,0.9976768
italian,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,3,12.387564,0.7186878
italian,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,14.193549,0.88505566
italian,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,4,13.691144,0.8817092
italian,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,13.564667,0.8236914
italian,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,11.751205,0.61731005
italian,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,14.272879,0.58398336
italian,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,13.812809,0.991983
italian,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,22.388552,0.9999207
italian,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,0,16.81382,0.99054587
italian,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,0,8.662388,0.43040818
italian,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,3,19.500338,0.9777428
italian,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,0,9.310051,0.85221535
italian,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,0,9.01589,0.42416087
italian,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,15.595791,0.9606199
italian,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,3,10.985081,0.72236055
italian,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,10.749498,0.9460028
italian,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,12.560549,0.98931795
italian,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,3,12.993467,0.9522864
italian,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,4,11.475921,0.50587845
italian,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,10.762603,0.79752743
italian,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,3,14.321308,0.9681971
italian,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,3,11.229171,0.94943655
italian,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,3,11.382101,0.7437853
italian,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,16.188887,0.9972031
italian,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,17.375237,0.9963845
italian,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,0,10.933523,0.6739383
italian,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,4,10.568092,0.80249095
italian,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,3,15.268089,0.5932406
italian,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,3,12.241774,0.9920569
italian,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,3,12.1518545,0.89411277
italian,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,4,12.140734,0.9386606
italian,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,4,15.650585,0.9978218
italian,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,0,14.677933,0.9685328
italian,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,3,14.657682,0.84480435
italian,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,4,12.974424,0.9283559
italian,data/test/drawing/EXP-1972-07-08-a-i0361_3.jpg,0,4,9.56803,0.49073267
italian,data/test/drawing/IMP-1983-10-03-a-i0220.jpg,0,4,10.215621,0.41784835
italian,data/test/drawing/EXP-1950-01-28-a-i0233.jpg,0,5,9.7234535,0.30833036
italian,data/test/drawing/LCE-1952-09-22-a-i0041_2.jpg,0,3,9.631243,0.647086
italian,data/test/drawing/JDG-1992-04-25-a-i0255_3.jpg,0,0,13.462765,0.8303186
italian,data/test/drawing/JDG-1956-12-12-a-i0230_2.jpg,0,3,16.84225,0.99423355
italian,data/test/drawing/IMP-1989-05-31-a-i0100.jpg,0,3,13.040798,0.87258846
italian,data/test/drawing/JDG-1994-06-10-a-i0250.jpg,0,3,20.456568,0.99958366
italian,data/test/drawing/EXP-1974-05-25-a-i0325_8.jpg,0,3,12.045149,0.9081096
italian,data/test/drawing/IMP-1981-02-18-a-i0085_13.jpg,0,0,15.747206,0.9973647
italian,data/test/drawing/EXP-1906-03-31-a-i0134.jpg,0,3,9.900881,0.4173024
italian,data/test/drawing/IMP-1923-12-21-a-i0030.jpg,0,3,13.749478,0.84277356
italian,data/test/drawing/IMP-1951-08-20-a-i0080.jpg,0,3,12.483713,0.6144682
italian,data/test/drawing/IMP-1981-02-18-a-i0085_4.jpg,0,0,15.270874,0.9837699
italian,data/test/drawing/EXP-1979-08-17-a-i0337.jpg,0,3,14.538111,0.9971802
italian,data/test/drawing/EXP-1974-05-25-a-i0325_4.jpg,0,3,11.968735,0.78029674
italian,data/test/drawing/IMP-1981-02-18-a-i0085_5.jpg,0,0,8.345028,0.66311115
italian,data/test/drawing/GDL-1979-06-15-a-i0026_2.jpg,0,0,15.175161,0.6763965
italian,data/test/drawing/JDG-1966-05-31-a-i0021.jpg,0,3,11.785438,0.85637844
italian,data/test/drawing/IMP-1903-01-14-a-i0031.jpg,0,3,13.363763,0.83375084
italian,data/test/drawing/JDG-1974-01-17-a-i0097.jpg,0,3,9.089459,0.5925443
italian,data/test/drawing/EXP-1924-06-06-a-i0046.jpg,0,0,11.056489,0.7298186
italian,data/test/drawing/IMP-1915-04-08-a-i0038_2.jpg,0,3,14.836765,0.9435977
italian,data/test/drawing/IMP-1925-01-09-a-i0030.jpg,0,3,12.327435,0.88961476
italian,data/test/drawing/IMP-1929-10-16-a-i0005.jpg,0,0,13.627716,0.71393347
italian,data/test/drawing/EXP-1969-05-13-a-i0056.jpg,0,3,19.965626,0.9967476
italian,data/test/drawing/IMP-1906-12-16-a-i0013.jpg,0,3,15.079198,0.9678211
italian,data/test/drawing/EXP-1966-11-25-a-i0334.jpg,0,0,13.383083,0.9489206
italian,data/test/drawing/EXP-1974-05-25-a-i0325_2.jpg,0,2,8.329147,0.31084275
italian,data/test/drawing/IMP-1981-02-18-a-i0085.jpg,0,0,13.545723,0.5517884
italian,data/test/drawing/LCE-1915-02-13-a-i0032.jpg,0,3,10.3777275,0.5966111
italian,data/test/drawing/IMP-1915-05-18-a-i0007.jpg,0,0,15.56896,0.98369426
italian,data/test/drawing/IMP-2001-07-17-a-i0177_2.jpg,0,3,20.28712,0.99952054
italian,data/test/drawing/EXP-1932-07-26-a-i0078.jpg,0,3,7.8951216,0.4705736
italian,data/test/drawing/IMP-1937-02-16-a-i0012.jpg,0,3,15.8900385,0.9622936
italian,data/test/drawing/IMP-1984-11-06-a-i0005.jpg,0,4,12.668055,0.95785874
italian,data/test/drawing/JDG-1977-06-04-a-i0219.jpg,0,4,9.581108,0.88595855
italian,data/test/drawing/IMP-2001-07-17-a-i0177.jpg,0,3,21.637745,0.9999697
italian,data/test/drawing/EXP-1972-07-08-a-i0361.jpg,0,0,13.495917,0.81569093
italian,data/test/drawing/IMP-1936-06-23-a-i0069.jpg,0,3,16.113224,0.9829716
italian,data/test/drawing/JDG-1968-10-25-a-i0086.jpg,0,0,13.152574,0.9221387
italian,data/test/drawing/GDL-1975-12-13-a-i0099.jpg,0,3,16.368603,0.9333417
italian,data/test/drawing/IMP-1993-09-25-a-i0275.jpg,0,3,12.29201,0.9417996
