Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
spanish,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,13.982691,0.91782516
spanish,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,16.597252,0.9833656
spanish,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,0,12.118767,0.8068123
spanish,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,10.7093935,0.71327347
spanish,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,13.419388,0.91391087
spanish,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,11.35935,0.5455811
spanish,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,0,11.965242,0.6768205
spanish,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,9.295281,0.7385934
spanish,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,12.173059,0.7912493
spanish,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,13.415991,0.99120027
spanish,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,12.760952,0.80103445
spanish,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,11.387997,0.96785617
spanish,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,8.983107,0.6528403
spanish,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,13.581186,0.8314772
spanish,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,11.965202,0.9727409
spanish,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,17.911135,0.99719465
spanish,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,0,13.449208,0.90814626
spanish,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,7,10.021108,0.72880524
spanish,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,0,12.607168,0.8636185
spanish,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,0,8.539699,0.73677254
spanish,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,7,9.604399,0.47811347
spanish,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,12.788006,0.7664498
spanish,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,0,6.7742195,0.5343893
spanish,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,0,10.573864,0.77494955
spanish,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,10.517857,0.87334067
spanish,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,0,9.948093,0.9165173
spanish,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,2,10.000207,0.38943076
spanish,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,8.5461235,0.5526246
spanish,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,4,10.67925,0.6502477
spanish,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,0,10.062284,0.7980152
spanish,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,0,11.212974,0.5200722
spanish,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,3,10.09616,0.637805
spanish,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,13.687881,0.969205
spanish,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,0,10.320047,0.89821494
